Time[s],5651::Alt_Heading::Heading[Degrees],,Time[s],5651::mixed_position::Lat[Degrees],,Time[s],5651::mixed_position::Lon[Degrees]
1.353510,357.0300000,,1.353740,40.0096748,,1.353740,116.3802606
1.363530,357.0300000,,1.363760,40.0096761,,1.363760,116.3802605
1.374650,357.0300000,,1.374880,40.0096773,,1.374880,116.3802604
1.383520,357.0300000,,1.383750,40.0096786,,1.383750,116.3802603
1.393520,357.0300000,,1.393750,40.0096798,,1.393750,116.3802602
1.403510,357.0300000,,1.403740,40.0096811,,1.403740,116.3802601
1.413510,357.0400000,,1.413750,40.0096823,,1.413750,116.3802600
1.423510,357.0400000,,1.423740,40.0096836,,1.423740,116.3802599
1.433510,357.0400000,,1.433740,40.0096849,,1.433740,116.3802598
1.443510,357.0300000,,1.443740,40.0096861,,1.443740,116.3802597
1.453510,357.0300000,,1.453740,40.0096874,,1.453740,116.3802596
1.463510,357.0400000,,1.463740,40.0096886,,1.463740,116.3802595
1.474640,357.0400000,,1.474880,40.0096899,,1.474880,116.3802594
1.484050,357.0400000,,1.484280,40.0096911,,1.484280,116.3802594
1.493990,357.0400000,,1.494220,40.0096924,,1.494220,116.3802593
1.503500,357.0400000,,1.503730,40.0096937,,1.503730,116.3802592
1.513500,357.0400000,,1.513730,40.0096949,,1.513730,116.3802591
1.523480,357.0400000,,1.523710,40.0096962,,1.523710,116.3802590
1.533480,357.0400000,,1.533710,40.0096974,,1.533710,116.3802589
1.543480,357.0400000,,1.543710,40.0096987,,1.543710,116.3802588
1.553480,357.0400000,,1.553710,40.0097000,,1.553710,116.3802587
1.563470,357.0400000,,1.563700,40.0097012,,1.563700,116.3802586
1.574600,357.0500000,,1.574840,40.0097025,,1.574840,116.3802585
1.583460,357.0500000,,1.583700,40.0097038,,1.583700,116.3802585
1.593470,357.0500000,,1.593710,40.0097050,,1.593710,116.3802584
1.603470,357.0500000,,1.603700,40.0097063,,1.603700,116.3802583
1.613460,357.0500000,,1.613700,40.0097075,,1.613700,116.3802582
1.623470,357.0500000,,1.623700,40.0097088,,1.623700,116.3802581
1.633470,357.0500000,,1.633700,40.0097101,,1.633700,116.3802580
1.643470,357.0500000,,1.643710,40.0097113,,1.643710,116.3802579
1.653470,357.0500000,,1.653700,40.0097126,,1.653700,116.3802579
1.663470,357.0500000,,1.663700,40.0097139,,1.663700,116.3802578
1.674600,357.0500000,,1.674830,40.0097151,,1.674830,116.3802577
1.683830,357.0500000,,1.684060,40.0097164,,1.684060,116.3802576
1.693930,357.0400000,,1.694170,40.0097176,,1.694170,116.3802575
1.703460,357.0500000,,1.703690,40.0097189,,1.703690,116.3802574
1.713460,357.0500000,,1.713690,40.0097202,,1.713690,116.3802573
1.723460,357.0500000,,1.723700,40.0097214,,1.723700,116.3802572
1.733460,357.0500000,,1.733700,40.0097227,,1.733700,116.3802572
1.743450,357.0400000,,1.743680,40.0097240,,1.743680,116.3802571
1.753450,357.0500000,,1.753680,40.0097252,,1.753680,116.3802570
1.763460,357.0500000,,1.763690,40.0097265,,1.763690,116.3802569
1.774590,357.0500000,,1.774820,40.0097277,,1.774820,116.3802568
